1 1:213.34578 2:0.40734234 3:8.52912 4:2.5914636 5:2.483863 6:-0.06275773 7:3.8402176 8:0.67486036 9:3.5298476 10:0.54431653 11:2.7722912 12:-4.814181 13:2.802702 14:213.34578 15:0.40734234 16:8.52912 17:2.5914636 18:2.483863 19:-0.06275773 20:3.8402176 21:0.67486036 22:3.5298476 23:0.54431653 24:2.7722912 25:-4.814181 26:2.802702 
1 1:219.49478 2:1.2740666 3:8.05418 4:1.7341733 5:1.0710764 6:-2.72354 7:0.7144166 8:-3.112733 9:3.1300633 10:0.2440283 11:3.2653985 12:-1.9448395 13:4.2423143 14:219.49478 15:1.2740666 16:8.05418 17:1.7341733 18:1.0710764 19:-2.72354 20:0.7144166 21:-3.112733 22:3.1300633 23:0.2440283 24:3.2653985 25:-1.9448395 26:4.2423143 
1 1:220.0953 2:2.2789695 3:6.8390875 4:0.6185116 5:3.931181 6:-0.3095199 7:4.015256 8:-0.871883 9:4.0765767 10:-0.19990353 11:4.509606 12:-2.6637812 13:5.3503 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.54945 2:0.5712601 3:6.2585816 4:2.4798083 5:1.9298053 6:-0.36360657 7:2.9816823 8:-1.053576 9:1.9058272 10:-3.2166631 11:3.136291 12:-3.4839382 13:3.8209355 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:215.52914 2:0.9723049 3:8.836902 4:2.7951744 5:1.9477745 6:-1.495764 7:2.0636003 8:-1.8035423 9:1.7940705 10:-2.810068 11:3.3286102 12:-1.6981077 13:3.4317338 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.60529 2:0.9829567 3:7.831472 4:2.5051837 5:1.5501568 6:-1.2065302 7:1.2273252 8:-3.647458 9:2.1175492 10:-0.55319744 11:5.2034826 12:-0.83625317 13:3.3754725 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.51816 2:3.0948825 3:9.863455 4:4.331954 5:3.0277789 6:-1.3382564 7:0.92931676 8:-2.3780556 9:3.1055968 10:-2.0532284 11:3.33433 12:-2.1101649 13:5.0057487 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.64328 2:2.1969674 3:7.4822497 4:1.5402617 5:1.3775985 6:-3.179708 7:1.2890589 8:-1.3749406 9:1.7817751 10:-2.7984464 11:2.2335372 12:-3.5365405 13:2.333129 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.38322 2:1.1343633 3:6.7212696 4:1.7300544 5:2.2727249 6:-0.057458613 7:3.3040452 8:-1.9809332 9:2.148257 10:-0.6342046 11:4.0926933 12:-2.319156 13:3.9690444 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:215.32631 2:-1.1408545 3:5.5747714 4:1.5477539 5:1.6690354 6:-2.9715495 7:1.8448617 8:-0.5568617 9:2.6291745 10:-1.0104281 11:3.167072 12:-1.1610416 13:5.299861 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.45837 2:0.63888943 3:7.391787 4:1.2450082 5:0.13483712 6:-3.9538696 7:1.2151527 8:-0.8441315 9:2.909493 10:-0.97427845 11:2.782288 12:-2.1486156 13:2.957483 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
